fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,Wine color,quality
8.0,0.29,0.29,13.2,0.046,26.0,0.9983,3.25,0.37,9.7,White,good
7.7,0.39,0.3,5.2,0.037,29.0,0.9943,3.38,0.44,11.0,White,good
6.5,0.28,0.28,20.4,0.041,40.0,1.0002,3.14,0.38,8.7,White,bad
7.4,0.36,0.3,1.8,0.074,17.0,0.99419,3.24,0.7,11.4,Red,good
6.1,0.46,0.32,6.2,0.053,10.0,0.99537,3.35,0.47,10.1,White,bad
7.8,0.58,0.02,2.0,0.073,9.0,0.9968,3.36,0.57,9.5,Red,good
6.4,0.31,0.28,1.5,0.037,12.0,0.9919,3.32,0.51,10.4,White,good
5.8,0.28,0.34,4.0,0.031,40.0,0.9896,3.39,0.39,12.8,White,good
5.6,0.185,0.49,1.1,0.03,28.0,0.9918,3.55,0.45,10.3,White,good
9.3,0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,Red,good
8.6,0.315,0.4,2.2,0.079,3.0,0.99512,3.27,0.67,11.9,Red,good
7.6,0.32,0.36,1.6,0.04,32.0,0.993,3.23,0.52,11.3,White,good
7.2,0.415,0.36,2.0,0.081,13.0,0.9972,3.48,0.64,9.2,Red,bad
8.3,0.4,0.41,8.2,0.05,15.0,0.9979,3.39,0.49,9.3,White,bad
6.3,0.36,0.28,2.5,0.035,18.0,0.98868,3.1,0.47,12.8,White,good
7.6,0.15,0.35,4.3,0.051,23.0,0.99422,3.1,0.44,9.5,White,good
8.6,0.17,0.28,2.7,0.047,38.0,0.99365,3.1,0.56,10.8,White,good
6.1,0.31,0.58,5.0,0.039,36.0,0.9909,3.3,0.6,12.3,White,good
6.1,0.38,0.2,6.6,0.033,25.0,0.9938,3.3,0.69,10.4,White,good
5.2,0.37,0.33,1.2,0.028,13.0,0.9902,3.37,0.38,11.7,White,good
6.0,0.51,0.0,2.1,0.064,40.0,0.995,3.54,0.93,10.7,Red,good
11.7,0.49,0.49,2.2,0.083,5.0,1.0,3.19,0.43,9.2,Red,bad
6.2,0.3,0.31,1.6,0.035,40.0,0.98914,3.26,0.39,12.9,White,good
9.9,0.44,0.46,2.2,0.091,10.0,0.99638,3.18,0.69,11.9,Red,good
8.9,0.27,0.28,0.8,0.024,29.0,0.98984,3.01,0.35,12.4,White,good
6.8,0.21,0.37,7.0,0.038,27.0,0.99206,2.98,0.82,11.5,White,good
6.4,0.37,0.25,1.9,0.074,21.0,0.9974,3.57,0.62,9.8,Red,good
6.5,0.36,0.28,3.2,0.037,29.0,0.9908,3.25,0.65,12.4,White,good
6.4,0.18,0.35,1.0,0.045,39.0,0.9911,3.31,0.35,10.9,White,good
6.2,0.345,0.27,10.1,0.056,38.0,0.99486,3.31,0.56,10.6,White,bad
8.1,0.33,0.22,5.2,0.047,24.0,0.99527,3.22,0.47,10.3,White,bad
8.8,0.31,0.4,2.8,0.109,7.0,0.99614,3.31,0.79,11.8,Red,good
5.9,0.27,0.27,5.0,0.035,14.0,0.99058,3.1,0.33,11.8,White,good
7.3,0.37,0.16,14.9,0.048,59.0,0.99902,3.13,0.45,8.9,White,bad
7.4,0.4,0.29,5.4,0.044,31.0,0.994,3.3,0.5,11.1,White,good
8.1,0.575,0.22,2.1,0.077,12.0,0.9967,3.29,0.51,9.2,Red,bad
6.3,0.29,0.28,4.7,0.059,28.0,0.99036,3.24,0.56,12.7,White,good
6.5,0.28,0.33,15.7,0.053,51.0,0.9978,3.22,0.51,9.7,White,good
7.3,0.28,0.36,12.7,0.04,38.0,0.998,3.3,0.79,9.6,White,good
9.9,0.27,0.49,5.0,0.082,9.0,0.99484,3.19,0.52,12.5,Red,good
8.6,0.685,0.1,1.6,0.092,3.0,0.99745,3.31,0.65,9.55,Red,good
8.6,0.685,0.1,1.6,0.092,3.0,0.99745,3.31,0.65,9.55,Red,good
6.5,0.24,0.29,8.2,0.043,32.0,0.99453,3.13,0.7,10.1,White,good
6.5,0.19,0.32,1.4,0.04,31.0,0.9922,3.36,0.54,10.8,White,good
7.1,0.43,0.25,2.8,0.036,43.0,0.98975,3.21,0.47,13.4,White,good
11.5,0.42,0.48,2.6,0.077,8.0,0.99852,3.09,0.53,11.0,Red,bad
7.8,0.7,0.06,1.9,0.079,20.0,0.99628,3.4,0.69,10.9,Red,bad
6.1,0.27,0.44,6.7,0.041,61.0,0.99505,3.12,0.4,8.9,White,bad
8.6,0.83,0.0,2.8,0.095,17.0,0.99822,3.33,0.6,10.4,Red,good
6.4,0.34,0.44,8.2,0.043,54.0,0.99551,3.18,0.48,9.5,White,bad
6.4,0.24,0.31,2.8,0.038,41.0,0.99155,3.37,0.66,11.7,White,good
6.1,0.19,0.25,4.0,0.023,23.0,0.9923,3.37,0.51,11.6,White,good
8.1,0.19,0.4,0.9,0.037,73.0,0.9926,3.06,0.34,10.0,White,good
6.8,0.33,0.31,7.4,0.045,34.0,0.99226,3.06,0.55,12.2,White,good
7.7,0.31,0.26,7.8,0.031,23.0,0.9944,3.13,0.5,10.4,White,bad
6.3,0.21,0.33,13.9,0.046,68.0,0.9971,3.36,0.5,10.4,White,good
7.4,0.18,0.3,10.4,0.045,44.0,0.9966,3.11,0.57,9.7,White,good
7.0,0.43,0.3,2.0,0.085,6.0,0.99346,3.33,0.46,11.9,Red,good
6.2,0.28,0.57,1.0,0.043,50.0,0.99004,3.17,0.36,11.5,White,good
6.8,0.67,0.15,1.8,0.118,13.0,0.9954,3.42,0.67,11.3,Red,good
9.1,0.45,0.35,2.4,0.08,23.0,0.9987,3.38,0.62,9.5,Red,bad
7.8,0.24,0.32,12.2,0.054,42.0,0.9984,3.01,0.54,8.8,White,bad
7.0,0.24,0.51,11.0,0.029,55.0,0.9965,3.03,0.61,9.5,White,bad
6.0,0.26,0.26,2.2,0.035,10.0,0.989465,3.11,0.48,12.15,White,good
6.8,0.22,0.31,6.9,0.037,33.0,0.99176,3.02,0.39,11.9,White,good
6.8,0.37,0.51,11.8,0.044,62.0,0.9976,3.19,0.44,8.8,White,bad
6.0,0.33,0.32,12.9,0.054,6.0,0.99572,3.3,0.56,11.5,Red,bad
8.4,0.18,0.42,5.1,0.036,7.0,0.9939,3.16,0.52,11.7,White,bad
8.1,0.33,0.22,5.2,0.047,24.0,0.99527,3.22,0.47,10.3,White,bad
6.7,0.64,0.23,2.1,0.08,11.0,0.99538,3.36,0.7,10.9,Red,bad
7.7,0.26,0.34,6.4,0.05,36.0,0.9937,3.19,0.7,11.5,White,good
6.8,0.44,0.37,5.1,0.047,46.0,0.9938,3.08,0.65,10.5,White,bad
12.4,0.35,0.49,2.6,0.079,27.0,0.9994,3.12,0.75,10.4,Red,good
8.1,0.2,0.49,11.8,0.048,46.0,0.9968,3.09,0.46,10.0,White,good
6.7,0.17,0.27,1.4,0.032,39.0,0.99254,3.4,0.52,10.5,White,bad
6.5,0.28,0.28,8.5,0.047,54.0,0.9962,3.09,0.54,8.9,White,bad
7.6,0.16,0.44,1.4,0.043,25.0,0.9932,3.11,0.75,10.3,White,good
